project_id,account_id,provisioned_at,has_auth,has_storage,has_edge_functions,has_pgvector,time_to_first_query_min,compute_hours,db_size_mb,egress_gb,is_pro_upgrade,pro_upgrade_date,monthly_invoice_usd
proj_0066,acct_0066,2026-07-21,True,True,False,False,20.9,75.86,4057.6,94.91,True,2026-08-06,81.26
proj_0067,acct_0067,2026-07-05,True,False,True,False,14.1,221.36,4302.23,99.0,False,,0.0
proj_0068,acct_0068,2026-07-04,True,False,False,True,7.1,330.21,793.71,17.38,True,2026-07-05,219.05
proj_0069,acct_0069,2026-09-04,True,True,False,False,14.2,343.69,4620.32,78.78,False,,0.0
proj_0070,acct_0070,2026-08-29,True,True,False,False,25.0,35.7,837.95,30.76,False,,0.0
proj_0071,acct_0071,2026-08-16,True,True,True,False,8.9,269.99,2194.42,59.8,False,,0.0
proj_0072,acct_0072,2026-08-07,True,True,True,False,26.0,293.56,113.52,76.48,False,,0.0
proj_0073,acct_0073,2026-08-28,True,True,False,False,9.1,498.47,2185.07,81.42,False,,0.0
proj_0074,acct_0074,2026-07-15,True,True,False,False,10.6,346.84,1448.21,94.52,False,,0.0
proj_0075,acct_0075,2026-08-09,True,True,True,False,12.7,257.3,4940.71,65.77,False,,0.0
proj_0076,acct_0076,2026-08-11,True,True,False,False,13.8,25.81,1342.61,13.1,False,,0.0
proj_0077,acct_0077,2026-08-08,True,False,False,True,5.6,275.42,2765.73,9.32,False,,0.0
proj_0078,acct_0078,2026-08-09,True,True,False,False,21.8,254.44,1374.39,83.47,False,,0.0
proj_0079,acct_0079,2026-08-04,True,True,True,False,22.6,68.25,358.35,77.27,False,,0.0
proj_0080,acct_0080,2026-06-26,False,True,False,True,9.7,293.47,4994.52,48.96,True,2026-07-31,255.06
proj_0081,acct_0081,2026-06-27,True,True,False,False,6.5,348.75,2863.27,23.36,False,,0.0
proj_0082,acct_0082,2026-08-12,True,True,False,False,29.7,396.2,3263.57,15.21,False,,0.0
proj_0083,acct_0083,2026-07-22,True,True,False,False,13.8,262.98,2290.07,72.24,False,,0.0
proj_0084,acct_0084,2026-08-05,True,False,True,False,12.5,40.16,1649.54,67.44,False,,0.0
proj_0085,acct_0085,2026-09-10,True,False,False,False,18.9,117.39,3425.15,28.74,False,,0.0
proj_0086,acct_0086,2026-08-22,True,True,False,False,13.9,347.0,4518.09,4.6,False,,0.0
proj_0087,acct_0087,2026-08-31,True,True,True,False,20.8,90.03,883.6,60.95,False,,0.0
proj_0088,acct_0088,2026-09-15,True,True,True,False,14.3,333.42,4495.55,46.53,False,,0.0
proj_0089,acct_0089,2026-08-29,True,False,False,True,28.9,345.16,2289.61,30.21,False,,0.0
proj_0090,acct_0090,2026-09-07,True,True,True,True,21.3,10.97,4151.89,39.58,True,2026-11-02,350.75
proj_0091,acct_0091,2026-09-12,False,False,False,False,23.5,115.06,4011.64,21.9,False,,0.0
proj_0092,acct_0092,2026-09-14,True,False,False,False,19.2,451.7,3235.24,30.89,False,,0.0
proj_0093,acct_0093,2026-07-04,True,True,True,False,6.1,66.08,2701.64,97.15,False,,0.0
proj_0094,acct_0094,2026-07-10,False,True,False,False,24.4,373.28,1700.19,11.52,False,,0.0
proj_0095,acct_0095,2026-09-06,True,True,False,False,12.5,422.87,2790.99,9.03,False,,0.0
proj_0096,acct_0096,2026-09-19,True,True,False,False,18.0,411.21,4702.06,10.83,False,,0.0
proj_0097,acct_0097,2026-09-09,True,False,True,False,19.8,317.7,2326.7,70.11,False,,0.0
proj_0098,acct_0098,2026-07-11,True,False,True,False,3.8,443.63,686.96,45.36,False,,0.0
proj_0099,acct_0099,2026-07-09,True,False,False,False,25.2,307.83,4695.87,27.97,False,,0.0
proj_0100,acct_0100,2026-08-16,True,False,False,True,20.9,272.23,4889.43,35.87,False,,0.0
proj_0101,acct_0101,2026-07-11,False,False,False,True,7.2,319.75,4855.76,5.06,False,,0.0
proj_0102,acct_0102,2026-09-09,True,True,False,False,18.0,406.53,1172.66,77.44,False,,0.0
proj_0103,acct_0103,2026-07-23,True,False,False,False,24.2,54.96,4333.57,13.18,False,,0.0
proj_0104,acct_0104,2026-07-25,True,True,True,True,13.2,56.82,327.15,44.83,False,,0.0
proj_0105,acct_0105,2026-07-06,True,True,False,False,27.4,329.45,1515.14,64.33,True,2026-08-06,427.47
proj_0106,acct_0106,2026-07-21,True,True,False,True,3.3,304.15,337.75,27.5,False,,0.0
proj_0107,acct_0107,2026-08-15,True,True,True,False,13.5,396.55,580.93,65.47,False,,0.0
proj_0108,acct_0108,2026-09-03,True,False,False,False,12.6,364.81,1569.62,31.25,False,,0.0
proj_0109,acct_0109,2026-08-04,True,True,True,True,13.5,372.29,1869.51,13.01,True,2026-09-09,291.8
proj_0110,acct_0110,2026-08-26,True,False,False,False,27.6,25.72,1445.27,31.24,True,2026-09-28,126.05
proj_0111,acct_0111,2026-07-23,True,True,False,False,23.1,287.05,4038.03,84.52,False,,0.0
proj_0112,acct_0112,2026-07-31,True,False,False,True,8.9,381.2,4608.47,35.1,False,,0.0
proj_0113,acct_0113,2026-09-07,True,True,True,False,1.9,373.06,1083.51,41.98,False,,0.0
proj_0114,acct_0114,2026-07-03,True,True,False,False,26.6,77.79,3774.64,4.98,True,2026-08-01,339.42
proj_0115,acct_0115,2026-07-01,True,True,True,False,11.0,55.44,3394.31,59.31,False,,0.0
proj_0116,acct_0116,2026-08-02,True,True,False,True,9.7,105.62,694.8,25.55,False,,0.0
proj_0117,acct_0117,2026-07-20,True,True,True,False,7.7,279.36,3343.56,35.42,False,,0.0
proj_0118,acct_0118,2026-08-01,True,True,True,False,13.4,202.21,3204.31,28.95,False,,0.0
proj_0119,acct_0119,2026-06-26,True,False,False,False,11.5,218.36,538.26,43.57,False,,0.0
proj_0120,acct_0120,2026-07-19,True,True,True,False,5.9,255.24,578.99,51.0,False,,0.0
proj_0121,acct_0121,2026-08-21,True,False,False,True,4.0,127.98,875.76,15.29,False,,0.0
proj_0122,acct_0122,2026-07-09,True,False,False,False,23.0,224.45,4621.53,56.45,False,,0.0
proj_0123,acct_0123,2026-09-04,False,False,True,True,13.8,151.41,1380.62,5.62,False,,0.0
proj_0124,acct_0124,2026-07-01,True,True,True,True,19.7,488.68,460.58,59.41,False,,0.0
proj_0125,acct_0125,2026-09-13,True,False,False,False,14.8,75.43,318.75,10.35,False,,0.0
proj_0126,acct_0126,2026-08-06,False,True,False,True,21.5,495.49,2625.1,60.98,False,,0.0
proj_0127,acct_0127,2026-08-25,True,False,False,True,19.3,167.32,1655.16,55.8,False,,0.0
proj_0128,acct_0128,2026-07-05,True,False,False,False,10.7,291.37,715.73,34.98,False,,0.0
proj_0129,acct_0129,2026-07-13,True,False,True,False,19.7,164.24,647.69,70.28,False,,0.0
proj_0130,acct_0130,2026-09-05,True,True,True,False,6.2,107.1,4738.86,48.63,False,,0.0
proj_0131,acct_0131,2026-07-31,True,True,False,False,16.7,369.32,2637.39,66.19,False,,0.0
proj_0132,acct_0132,2026-07-21,True,True,True,False,19.1,451.33,3608.7,4.37,False,,0.0
proj_0133,acct_0133,2026-08-03,False,False,False,False,7.8,119.58,4828.33,78.44,False,,0.0
proj_0134,acct_0134,2026-08-22,True,False,False,False,9.2,190.94,2642.02,96.63,False,,0.0
proj_0135,acct_0135,2026-07-25,False,True,False,False,28.1,355.7,2584.39,12.47,True,2026-08-05,154.58
proj_0136,acct_0136,2026-06-30,False,True,False,False,26.7,465.24,2080.34,39.65,False,,0.0
proj_0137,acct_0137,2026-09-20,False,True,True,False,25.3,324.98,3958.99,13.76,False,,0.0
proj_0138,acct_0138,2026-07-06,True,True,False,False,1.2,39.61,1287.06,83.5,False,,0.0
proj_0139,acct_0139,2026-08-02,True,True,True,True,13.2,396.95,2291.0,11.09,False,,0.0
proj_0140,acct_0140,2026-08-11,True,True,False,True,1.0,176.41,2857.61,18.73,False,,0.0
proj_0141,acct_0141,2026-07-27,True,True,False,False,17.1,195.23,2355.97,63.57,False,,0.0
proj_0142,acct_0142,2026-08-01,True,True,True,True,20.1,51.83,2913.7,75.67,True,2026-08-24,284.36
proj_0143,acct_0143,2026-07-14,False,False,False,False,6.3,67.43,3583.06,94.36,True,2026-07-27,45.81
proj_0144,acct_0144,2026-07-03,False,True,True,False,24.6,236.7,192.74,64.69,False,,0.0
proj_0145,acct_0145,2026-07-26,False,True,True,False,26.8,371.65,4474.24,38.66,False,,0.0
proj_0146,acct_0146,2026-07-01,True,True,False,True,3.4,212.25,2158.73,99.51,False,,0.0
proj_0147,acct_0147,2026-09-11,True,True,False,False,18.5,213.06,3451.93,35.15,True,2026-11-06,458.01
proj_0148,acct_0148,2026-08-23,True,False,False,True,19.5,181.66,4007.47,67.94,False,,0.0
proj_0149,acct_0149,2026-07-22,False,False,False,True,7.8,322.58,1817.13,94.95,True,2026-08-01,347.55
proj_0150,acct_0150,2026-08-24,True,False,False,False,12.5,324.78,1255.56,11.34,False,,0.0
proj_0151,acct_0151,2026-07-14,True,False,True,False,21.4,107.29,3063.27,69.4,False,,0.0
proj_0152,acct_0152,2026-07-22,True,False,False,False,13.9,43.9,3412.83,84.55,False,,0.0
proj_0153,acct_0153,2026-08-28,True,True,True,True,5.6,354.78,3504.09,17.41,False,,0.0
proj_0154,acct_0154,2026-09-04,True,True,True,False,1.8,277.01,1850.87,80.37,False,,0.0
proj_0155,acct_0155,2026-09-05,True,True,False,False,12.9,204.72,2878.75,12.53,False,,0.0
proj_0156,acct_0156,2026-09-11,True,False,True,False,23.6,319.9,918.0,96.63,False,,0.0
proj_0157,acct_0157,2026-07-08,False,True,True,True,28.1,112.74,4737.94,51.89,False,,0.0
proj_0158,acct_0158,2026-07-26,True,False,False,True,9.8,266.74,2517.84,16.86,False,,0.0
proj_0159,acct_0159,2026-09-17,True,False,False,False,27.8,20.6,4320.27,8.12,False,,0.0
proj_0160,acct_0160,2026-09-10,True,False,False,False,15.4,313.58,1455.46,95.67,False,,0.0
proj_0161,acct_0161,2026-09-14,True,True,True,False,15.0,102.01,3037.23,31.26,False,,0.0
proj_0162,acct_0162,2026-06-30,False,True,True,False,10.3,233.24,1344.68,24.79,True,2026-07-19,474.06
proj_0163,acct_0163,2026-08-19,True,False,True,False,17.8,156.36,3817.98,49.83,False,,0.0
proj_0164,acct_0164,2026-07-29,False,True,True,False,14.3,120.36,2920.89,4.87,False,,0.0
proj_0165,acct_0165,2026-09-09,True,True,True,True,8.7,182.89,2022.24,4.52,True,2026-10-15,117.46
proj_0166,acct_0166,2026-06-25,True,True,False,True,29.7,340.2,602.87,97.51,False,,0.0
proj_0167,acct_0167,2026-09-17,True,True,True,False,12.6,20.13,204.18,71.36,False,,0.0
proj_0168,acct_0168,2026-08-24,True,False,True,False,10.2,196.48,3086.34,84.26,False,,0.0
proj_0169,acct_0169,2026-09-07,True,True,False,False,20.5,489.95,2922.67,79.68,False,,0.0
proj_0170,acct_0170,2026-08-01,True,True,False,False,17.8,113.77,266.26,48.04,False,,0.0
proj_0171,acct_0171,2026-07-14,True,False,True,False,4.2,9.47,1575.33,15.14,False,,0.0
proj_0172,acct_0172,2026-09-16,True,False,False,False,22.1,352.89,2598.23,56.09,False,,0.0
proj_0173,acct_0173,2026-08-04,True,True,True,False,10.9,177.14,3862.23,72.09,False,,0.0
proj_0174,acct_0174,2026-08-26,True,True,True,False,7.5,486.46,1495.1,28.9,False,,0.0
proj_0175,acct_0175,2026-07-19,True,True,False,False,8.9,60.94,3386.35,37.97,False,,0.0
proj_0176,acct_0176,2026-09-11,False,False,True,True,21.7,173.18,2217.46,25.64,False,,0.0
proj_0177,acct_0177,2026-07-27,False,True,False,True,4.2,370.45,1204.02,5.08,False,,0.0
proj_0178,acct_0178,2026-07-11,True,True,False,False,3.9,385.38,35.86,55.04,False,,0.0
proj_0179,acct_0179,2026-07-05,True,False,False,False,22.9,143.62,1434.22,5.92,False,,0.0
proj_0180,acct_0180,2026-09-11,True,False,False,False,6.1,441.12,887.19,91.96,False,,0.0
proj_0181,acct_0181,2026-08-28,True,True,False,False,9.4,18.73,1498.98,60.28,False,,0.0
proj_0182,acct_0182,2026-07-24,True,False,False,False,28.2,425.53,2345.42,19.28,True,2026-08-04,372.28
proj_0183,acct_0183,2026-09-06,True,True,True,True,20.6,96.58,3058.66,63.87,False,,0.0
proj_0184,acct_0184,2026-08-16,True,True,False,True,5.1,161.8,1247.75,26.08,False,,0.0
proj_0185,acct_0185,2026-07-28,False,True,False,True,20.0,346.38,320.0,11.82,False,,0.0
proj_0186,acct_0186,2026-07-13,True,False,False,False,21.0,319.36,4703.77,36.75,False,,0.0
proj_0187,acct_0187,2026-08-29,True,True,False,False,21.4,456.4,3789.18,80.2,False,,0.0
proj_0188,acct_0188,2026-07-15,True,True,False,False,16.3,180.89,4587.05,11.22,False,,0.0
proj_0189,acct_0189,2026-06-26,True,True,True,False,4.4,102.7,2919.91,9.09,False,,0.0
proj_0190,acct_0190,2026-08-06,True,True,False,True,14.4,403.46,3619.17,39.59,False,,0.0
proj_0191,acct_0191,2026-08-24,True,True,True,True,29.8,467.29,354.41,93.38,True,2026-09-20,110.49
proj_0192,acct_0192,2026-07-02,True,False,False,False,29.8,191.24,4349.41,90.68,False,,0.0
proj_0193,acct_0193,2026-08-11,True,True,True,False,16.3,363.93,1121.22,0.35,True,2026-08-31,244.93
proj_0194,acct_0194,2026-08-06,True,False,True,False,9.0,468.71,3627.87,11.28,False,,0.0
proj_0195,acct_0195,2026-09-18,True,False,False,True,3.0,296.97,2237.74,67.2,False,,0.0
proj_0196,acct_0196,2026-08-29,True,True,True,True,26.0,28.22,2524.44,28.93,False,,0.0
proj_0197,acct_0197,2026-07-22,True,False,False,True,26.4,492.85,2611.04,41.36,False,,0.0
proj_0198,acct_0198,2026-08-15,True,True,False,False,28.3,335.67,3931.16,31.87,False,,0.0
proj_0199,acct_0199,2026-07-31,True,True,False,True,7.5,428.77,730.32,46.3,True,2026-08-27,484.7
proj_0200,acct_0200,2026-07-08,True,True,True,True,14.0,185.54,2682.82,82.94,True,2026-08-02,344.99
proj_0201,acct_0201,2026-07-09,False,True,False,False,17.2,239.7,4348.67,33.3,False,,0.0
proj_0202,acct_0202,2026-09-05,True,True,False,False,22.9,457.22,3481.18,70.38,False,,0.0
proj_0203,acct_0203,2026-07-20,True,False,True,False,11.4,130.78,2568.95,49.73,True,2026-09-05,248.01
proj_0204,acct_0204,2026-08-21,False,True,False,False,7.4,72.96,1311.26,93.48,False,,0.0
proj_0205,acct_0205,2026-08-07,True,True,True,False,8.1,275.32,4717.89,33.76,False,,0.0
proj_0206,acct_0206,2026-09-21,False,False,False,True,24.1,84.63,3604.36,48.83,False,,0.0
proj_0207,acct_0207,2026-08-06,True,False,True,False,2.4,3.19,696.08,63.07,True,2026-08-16,29.34
proj_0208,acct_0208,2026-09-06,True,False,False,False,15.0,243.93,43.0,55.16,True,2026-10-10,368.04
proj_0209,acct_0209,2026-07-27,True,False,False,False,27.4,53.51,490.61,14.89,False,,0.0
proj_0210,acct_0210,2026-09-07,False,True,True,False,12.8,282.5,4951.26,22.59,False,,0.0
proj_0211,acct_0211,2026-09-04,True,False,False,True,12.0,276.35,290.01,0.95,False,,0.0
proj_0212,acct_0212,2026-09-19,False,False,True,False,29.2,447.4,4596.57,22.98,False,,0.0
proj_0213,acct_0213,2026-08-03,True,False,False,True,16.7,329.05,904.98,85.04,True,2026-08-17,303.84
proj_0214,acct_0214,2026-07-05,False,True,False,False,25.6,338.52,2707.41,38.38,False,,0.0
proj_0215,acct_0215,2026-07-14,True,False,True,False,25.3,170.3,3847.34,95.49,False,,0.0
proj_0216,acct_0216,2026-08-29,True,True,False,False,11.3,470.57,2164.92,67.97,False,,0.0
proj_0217,acct_0217,2026-08-19,True,True,True,True,8.8,190.0,3921.61,15.43,False,,0.0
proj_0218,acct_0218,2026-07-02,True,True,True,False,8.8,66.25,945.08,44.88,False,,0.0
proj_0219,acct_0219,2026-09-03,True,True,False,False,23.7,431.86,71.58,41.38,False,,0.0
proj_0220,acct_0220,2026-07-24,True,True,True,True,9.7,246.56,325.7,43.47,False,,0.0
proj_0221,acct_0221,2026-09-07,True,True,False,False,15.4,308.33,2294.73,13.55,True,2026-10-03,182.8
proj_0222,acct_0222,2026-08-23,False,True,True,False,25.9,487.11,689.26,32.07,False,,0.0
proj_0223,acct_0223,2026-09-07,True,True,True,False,22.3,316.45,4839.14,78.2,False,,0.0
proj_0224,acct_0224,2026-09-19,False,True,True,False,18.2,272.81,3411.75,55.01,False,,0.0
proj_0225,acct_0225,2026-06-29,False,True,False,False,3.0,423.89,3977.28,67.3,True,2026-07-19,139.96
proj_0226,acct_0226,2026-08-27,True,False,True,False,14.9,200.4,2538.0,92.04,False,,0.0
proj_0227,acct_0227,2026-09-01,True,True,False,False,19.5,42.49,3847.08,65.76,False,,0.0
proj_0228,acct_0228,2026-09-04,True,False,False,False,10.6,398.12,538.66,9.86,False,,0.0
proj_0229,acct_0229,2026-07-18,True,True,False,False,15.5,172.48,132.57,10.45,False,,0.0
proj_0230,acct_0230,2026-07-01,True,False,True,False,14.2,103.43,2419.8,47.62,False,,0.0
proj_0231,acct_0231,2026-07-02,True,True,False,True,25.6,323.98,3388.93,16.44,False,,0.0
proj_0232,acct_0232,2026-08-18,True,True,True,False,14.4,398.88,3152.5,18.64,False,,0.0
proj_0233,acct_0233,2026-06-30,True,False,True,False,12.3,352.37,1036.86,75.23,False,,0.0
proj_0234,acct_0234,2026-06-27,True,False,False,False,6.7,56.98,3356.8,48.95,False,,0.0
proj_0235,acct_0235,2026-08-04,True,False,False,False,25.5,308.68,4070.55,70.6,False,,0.0
proj_0236,acct_0236,2026-07-05,True,True,True,True,11.8,70.68,1948.43,59.64,False,,0.0
proj_0237,acct_0237,2026-09-16,True,False,False,False,30.0,277.46,2453.31,14.03,False,,0.0
proj_0238,acct_0238,2026-09-08,True,False,False,False,6.7,191.97,2812.29,65.31,False,,0.0
proj_0239,acct_0239,2026-07-11,True,False,False,True,1.9,380.53,1467.53,27.49,False,,0.0
proj_0240,acct_0240,2026-08-19,True,True,False,False,15.8,286.36,1346.77,54.31,False,,0.0
proj_0241,acct_0241,2026-08-14,True,True,True,False,22.3,326.84,1245.18,87.48,True,2026-08-31,190.57
proj_0242,acct_0242,2026-09-11,True,False,False,True,24.5,293.96,1759.65,71.08,False,,0.0
proj_0243,acct_0243,2026-06-27,True,False,False,False,17.5,266.14,2988.32,16.84,False,,0.0
proj_0244,acct_0244,2026-08-23,True,True,False,False,20.7,47.61,4814.23,78.57,False,,0.0
proj_0245,acct_0245,2026-09-07,False,True,False,True,21.6,414.24,3809.75,67.62,False,,0.0
proj_0246,acct_0246,2026-08-09,True,True,True,False,23.3,201.43,3751.51,69.47,False,,0.0
proj_0247,acct_0247,2026-07-07,False,True,True,False,22.2,365.47,2297.66,66.41,False,,0.0
proj_0248,acct_0248,2026-08-13,True,True,False,False,15.3,161.43,1425.13,54.73,True,2026-10-07,255.54
proj_0249,acct_0249,2026-08-13,False,False,True,False,25.3,8.14,4647.87,15.8,False,,0.0
proj_0250,acct_0250,2026-09-17,True,False,True,False,5.6,466.36,1377.36,65.46,False,,0.0
proj_0251,acct_0251,2026-07-01,True,False,True,False,22.1,377.62,2151.86,9.12,True,2026-07-15,251.48
proj_0252,acct_0252,2026-08-06,True,True,False,True,11.0,60.3,4303.1,69.4,False,,0.0
proj_0253,acct_0253,2026-09-14,True,False,True,False,26.5,68.56,3869.57,75.32,True,2026-10-28,92.86
proj_0254,acct_0254,2026-06-24,True,True,True,True,22.7,459.95,3084.22,44.24,False,,0.0
proj_0255,acct_0255,2026-08-31,True,True,False,False,13.5,395.54,1246.45,64.46,False,,0.0
proj_0256,acct_0256,2026-07-20,True,False,False,False,9.7,258.87,2552.52,74.78,False,,0.0
proj_0257,acct_0257,2026-07-02,True,False,True,False,8.0,319.04,364.35,88.87,True,2026-07-26,468.61
proj_0258,acct_0258,2026-08-30,True,False,False,False,6.0,235.51,4936.96,7.3,False,,0.0
proj_0259,acct_0259,2026-09-03,True,True,True,False,15.7,314.29,2510.23,41.54,False,,0.0
proj_0260,acct_0260,2026-08-01,True,True,True,True,3.3,460.46,4871.82,15.54,False,,0.0
proj_0261,acct_0261,2026-08-30,True,True,False,True,8.1,462.31,588.77,61.23,True,2026-10-12,377.3
proj_0262,acct_0262,2026-07-01,True,False,False,True,28.6,261.5,3917.11,72.08,False,,0.0
proj_0263,acct_0263,2026-08-02,True,False,False,True,27.1,167.51,2152.33,52.39,False,,0.0
proj_0264,acct_0264,2026-08-30,True,True,True,False,5.8,78.65,3868.91,89.43,False,,0.0
proj_0265,acct_0265,2026-07-09,True,True,True,False,8.1,235.88,1921.07,15.01,False,,0.0
proj_0266,acct_0266,2026-08-13,True,False,False,False,10.3,208.13,3604.24,27.13,True,2026-09-06,81.72
