date,channel,region,spend,impressions,clicks,platform_reported_conversions
2026-06-19,community_events,US-West,200.6,10740,209,12
2026-06-19,community_events,EU-Central,111.85,6332,300,16
2026-06-19,community_events,APAC-SG,118.03,10531,445,13
2026-06-19,community_events,LATAM,79.61,5696,153,7
2026-06-19,organic_direct,US-East,68.25,5710,281,7
2026-06-19,organic_direct,US-West,51.79,3468,154,5
2026-06-19,organic_direct,EU-Central,36.64,2653,71,2
2026-06-19,organic_direct,APAC-SG,34.0,3269,90,6
2026-06-19,organic_direct,LATAM,36.06,1894,94,6
2026-06-20,paid_search,US-East,768.84,74053,3254,97
2026-06-20,paid_search,US-West,545.26,33090,861,20
2026-06-20,paid_search,EU-Central,417.32,41425,853,57
2026-06-20,paid_search,APAC-SG,389.2,27691,1337,106
2026-06-20,paid_search,LATAM,361.71,31078,503,19
2026-06-20,paid_social,US-East,461.24,36419,1154,74
2026-06-20,paid_social,US-West,242.32,19193,577,41
2026-06-20,paid_social,EU-Central,214.5,21029,277,8
2026-06-20,paid_social,APAC-SG,253.69,21249,412,11
2026-06-20,paid_social,LATAM,259.18,16149,545,31
2026-06-20,developer_sponsorship,US-East,228.37,18083,558,42
2026-06-20,developer_sponsorship,US-West,180.96,15528,303,13
2026-06-20,developer_sponsorship,EU-Central,198.54,12905,292,19
2026-06-20,developer_sponsorship,APAC-SG,118.96,8673,433,34
2026-06-20,developer_sponsorship,LATAM,104.15,6317,130,9
2026-06-20,community_events,US-East,221.13,20778,514,15
2026-06-20,community_events,US-West,198.04,16868,581,46
2026-06-20,community_events,EU-Central,147.47,7431,317,12
2026-06-20,community_events,APAC-SG,131.76,12773,196,5
2026-06-20,community_events,LATAM,80.24,6231,130,7
2026-06-20,organic_direct,US-East,67.83,4082,144,5
2026-06-20,organic_direct,US-West,54.62,5203,228,5
2026-06-20,organic_direct,EU-Central,42.94,2741,27,1
2026-06-20,organic_direct,APAC-SG,43.29,2731,108,5
2026-06-20,organic_direct,LATAM,33.48,1690,21,1
2026-06-21,paid_search,US-East,745.41,57604,2499,137
2026-06-21,paid_search,US-West,433.87,24458,546,40
2026-06-21,paid_search,EU-Central,529.95,49303,2265,73
2026-06-21,paid_search,APAC-SG,339.89,18741,772,56
2026-06-21,paid_search,LATAM,330.34,26768,433,32
2026-06-21,paid_social,US-East,438.75,43353,1839,134
2026-06-21,paid_social,US-West,235.91,20483,476,36
2026-06-21,paid_social,EU-Central,318.96,29728,1261,45
2026-06-21,paid_social,APAC-SG,281.38,15589,699,49
2026-06-21,paid_social,LATAM,175.03,15897,451,17
2026-06-21,developer_sponsorship,US-East,282.53,17341,189,5
2026-06-21,developer_sponsorship,US-West,197.33,18394,895,32
2026-06-21,developer_sponsorship,EU-Central,195.28,13666,672,35
2026-06-21,developer_sponsorship,APAC-SG,202.17,11274,550,16
2026-06-21,developer_sponsorship,LATAM,178.85,11316,162,7
2026-06-21,community_events,US-East,204.68,13444,460,23
2026-06-21,community_events,US-West,153.63,12110,244,15
2026-06-21,community_events,EU-Central,94.64,9111,287,18
2026-06-21,community_events,APAC-SG,137.42,11478,282,6
2026-06-21,community_events,LATAM,115.35,7671,173,12
2026-06-21,organic_direct,US-East,67.91,4415,98,4
2026-06-21,organic_direct,US-West,51.78,3354,50,2
2026-06-21,organic_direct,EU-Central,56.89,4771,220,12
2026-06-21,organic_direct,APAC-SG,35.22,2725,27,1
2026-06-21,organic_direct,LATAM,33.53,2648,95,4
2026-06-22,paid_search,US-East,579.18,35147,1016,75
2026-06-22,paid_search,US-West,647.69,37879,507,25
2026-06-22,paid_search,EU-Central,485.89,32437,1386,90
2026-06-22,paid_search,APAC-SG,441.47,27032,485,10
2026-06-22,paid_search,LATAM,296.42,21862,961,23
2026-06-22,paid_social,US-East,341.52,27829,494,30
2026-06-22,paid_social,US-West,328.89,20456,741,15
2026-06-22,paid_social,EU-Central,310.66,27494,392,17
2026-06-22,paid_social,APAC-SG,193.33,18926,581,13
2026-06-22,paid_social,LATAM,178.4,16487,465,31
2026-06-22,developer_sponsorship,US-East,264.13,26253,887,68
2026-06-22,developer_sponsorship,US-West,271.67,21905,849,42
2026-06-22,developer_sponsorship,EU-Central,215.7,16693,766,49
2026-06-22,developer_sponsorship,APAC-SG,157.57,9920,197,11
2026-06-22,developer_sponsorship,LATAM,162.33,12347,433,15
2026-06-22,community_events,US-East,134.37,8638,180,7
2026-06-22,community_events,US-West,168.98,9618,185,11
2026-06-22,community_events,EU-Central,151.72,8073,212,11
2026-06-22,community_events,APAC-SG,113.94,6875,184,13
2026-06-22,community_events,LATAM,110.3,9350,413,27
2026-06-22,organic_direct,US-East,55.69,2800,67,4
2026-06-22,organic_direct,US-West,66.66,6510,174,11
2026-06-22,organic_direct,EU-Central,46.25,3707,69,2
2026-06-22,organic_direct,APAC-SG,38.46,1978,46,2
2026-06-22,organic_direct,LATAM,32.99,1921,55,1
2026-06-23,paid_search,US-East,644.01,33068,851,45
2026-06-23,paid_search,US-West,393.94,32357,499,23
2026-06-23,paid_search,EU-Central,328.58,22657,418,16
2026-06-23,paid_search,APAC-SG,462.7,31906,1278,89
2026-06-23,paid_search,LATAM,297.98,16119,173,9
2026-06-23,paid_social,US-East,467.98,31587,1137,76
2026-06-23,paid_social,US-West,360.05,31580,1515,48
2026-06-23,paid_social,EU-Central,192.3,11080,166,9
2026-06-23,paid_social,APAC-SG,249.21,15176,576,38
2026-06-23,paid_social,LATAM,168.14,13512,539,14
2026-06-23,developer_sponsorship,US-East,285.98,28093,402,8
2026-06-23,developer_sponsorship,US-West,195.18,16369,791,34
2026-06-23,developer_sponsorship,EU-Central,203.22,10933,411,23
2026-06-23,developer_sponsorship,APAC-SG,121.78,10792,474,26
2026-06-23,developer_sponsorship,LATAM,108.17,10729,443,18
2026-06-23,community_events,US-East,172.26,11804,356,14
2026-06-23,community_events,US-West,199.61,18187,258,20
2026-06-23,community_events,EU-Central,145.98,13347,511,23
2026-06-23,community_events,APAC-SG,136.83,13446,279,19
2026-06-23,community_events,LATAM,107.4,7966,218,13
2026-06-23,organic_direct,US-East,51.66,4782,206,5
2026-06-23,organic_direct,US-West,67.59,4203,120,6
2026-06-23,organic_direct,EU-Central,41.73,2146,94,2
2026-06-23,organic_direct,APAC-SG,33.09,2974,70,5
2026-06-23,organic_direct,LATAM,39.22,2502,26,1
2026-06-24,paid_search,US-East,450.82,38772,1145,74
2026-06-24,paid_search,US-West,612.9,50438,1494,100
2026-06-24,paid_search,EU-Central,340.12,20774,782,30
2026-06-24,paid_search,APAC-SG,419.57,30906,965,43
2026-06-24,paid_search,LATAM,401.65,26725,1018,36
2026-06-24,paid_social,US-East,306.3,17162,303,8
2026-06-24,paid_social,US-West,337.1,29701,516,17
2026-06-24,paid_social,EU-Central,267.44,23061,1131,58
2026-06-24,paid_social,APAC-SG,208.75,11486,204,6
2026-06-24,paid_social,LATAM,169.61,8600,269,9
2026-06-24,developer_sponsorship,US-East,308.3,23945,907,25
2026-06-24,developer_sponsorship,US-West,268.64,20025,899,48
2026-06-24,developer_sponsorship,EU-Central,176.69,12725,221,5
2026-06-24,developer_sponsorship,APAC-SG,202.34,14950,641,28
2026-06-24,developer_sponsorship,LATAM,104.22,8491,103,2
2026-06-24,community_events,US-East,186.79,12177,605,16
2026-06-24,community_events,US-West,191.18,15354,639,21
2026-06-24,community_events,EU-Central,136.83,9923,274,19
2026-06-24,community_events,APAC-SG,155.28,10134,353,19
2026-06-24,community_events,LATAM,120.13,11698,214,6
2026-06-24,organic_direct,US-East,65.78,3805,64,1
2026-06-24,organic_direct,US-West,38.59,2798,94,3
2026-06-24,organic_direct,EU-Central,37.75,3221,122,5
2026-06-24,organic_direct,APAC-SG,44.5,4280,177,10
2026-06-24,organic_direct,LATAM,38.38,3710,100,5
2026-06-25,paid_search,US-East,653.15,62323,2683,65
2026-06-25,paid_search,US-West,439.75,28751,1148,62
2026-06-25,paid_search,EU-Central,392.92,22089,829,51
2026-06-25,paid_search,APAC-SG,506.24,37979,1129,28
2026-06-25,paid_search,LATAM,253.37,18141,415,14
2026-06-25,paid_social,US-East,271.73,26655,1157,63
2026-06-25,paid_social,US-West,419.26,41917,1546,55
2026-06-25,paid_social,EU-Central,195.52,17169,494,29
2026-06-25,paid_social,APAC-SG,299.91,17717,591,34
2026-06-25,paid_social,LATAM,208.96,11401,272,10
2026-06-25,developer_sponsorship,US-East,264.5,24568,569,35
2026-06-25,developer_sponsorship,US-West,192.04,18677,794,42
2026-06-25,developer_sponsorship,EU-Central,175.12,11509,263,20
2026-06-25,developer_sponsorship,APAC-SG,150.8,11420,565,33
2026-06-25,developer_sponsorship,LATAM,143.58,10145,177,7
2026-06-25,community_events,US-East,207.7,16879,681,21
2026-06-25,community_events,US-West,169.87,16372,450,27
2026-06-25,community_events,EU-Central,104.34,10293,353,12
2026-06-25,community_events,APAC-SG,95.4,7397,237,6
2026-06-25,community_events,LATAM,136.01,13008,370,10
2026-06-25,organic_direct,US-East,71.96,5391,208,10
2026-06-25,organic_direct,US-West,47.52,4359,214,7
2026-06-25,organic_direct,EU-Central,46.38,3208,150,7
2026-06-25,organic_direct,APAC-SG,49.1,4576,96,6
2026-06-25,organic_direct,LATAM,33.21,3211,97,6
2026-06-26,paid_search,US-East,521.82,33880,1134,90
2026-06-26,paid_search,US-West,546.58,31389,990,40
2026-06-26,paid_search,EU-Central,464.02,35809,1010,39
2026-06-26,paid_search,APAC-SG,325.28,27608,907,30
2026-06-26,paid_search,LATAM,407.86,21283,846,52
2026-06-26,paid_social,US-East,427.26,29610,1082,74
2026-06-26,paid_social,US-West,425.2,31790,364,18
2026-06-26,paid_social,EU-Central,284.61,26606,1196,55
2026-06-26,paid_social,APAC-SG,243.74,17755,690,30
2026-06-26,paid_social,LATAM,229.5,13246,381,29
2026-06-26,developer_sponsorship,US-East,216.75,18344,660,46
2026-06-26,developer_sponsorship,US-West,266.51,24776,624,24
2026-06-26,developer_sponsorship,EU-Central,203.62,17912,804,17
2026-06-26,developer_sponsorship,APAC-SG,118.57,9670,452,36
2026-06-26,developer_sponsorship,LATAM,160.73,11524,160,9
2026-06-26,community_events,US-East,220.24,15897,600,44
2026-06-26,community_events,US-West,120.05,10781,234,9
2026-06-26,community_events,EU-Central,106.29,8137,265,17
2026-06-26,community_events,APAC-SG,96.24,5191,232,13
2026-06-26,community_events,LATAM,88.67,8480,133,6
2026-06-26,organic_direct,US-East,51.14,3209,33,2
2026-06-26,organic_direct,US-West,68.24,5724,93,4
2026-06-26,organic_direct,EU-Central,40.83,3241,115,5
2026-06-26,organic_direct,APAC-SG,34.0,3137,56,2
2026-06-26,organic_direct,LATAM,34.65,2143,70,3
2026-06-27,paid_search,US-East,777.37,50343,2472,147
2026-06-27,paid_search,US-West,475.58,37236,1393,90
2026-06-27,paid_search,EU-Central,328.24,26364,787,58
2026-06-27,paid_search,APAC-SG,348.69,31362,1075,44
2026-06-27,paid_search,LATAM,378.69,30690,1138,71
2026-06-27,paid_social,US-East,394.38,36250,1273,94
2026-06-27,paid_social,US-West,358.98,23494,649,35
2026-06-27,paid_social,EU-Central,307.64,16768,365,23
2026-06-27,paid_social,APAC-SG,193.29,10941,345,27
2026-06-27,paid_social,LATAM,213.89,20463,884,31
2026-06-27,developer_sponsorship,US-East,286.76,21246,897,58
2026-06-27,developer_sponsorship,US-West,198.71,11079,537,15
2026-06-27,developer_sponsorship,EU-Central,230.38,21426,834,65
2026-06-27,developer_sponsorship,APAC-SG,204.86,18484,455,30
2026-06-27,developer_sponsorship,LATAM,99.17,7619,214,12
2026-06-27,community_events,US-East,198.61,15735,674,51
2026-06-27,community_events,US-West,126.23,7787,85,6
2026-06-27,community_events,EU-Central,139.97,13403,252,5
2026-06-27,community_events,APAC-SG,143.32,13682,302,13
2026-06-27,community_events,LATAM,82.31,8009,177,8
2026-06-27,organic_direct,US-East,45.5,4293,66,3
2026-06-27,organic_direct,US-West,60.63,5284,252,11
2026-06-27,organic_direct,EU-Central,51.54,2975,79,2
2026-06-27,organic_direct,APAC-SG,39.74,2797,134,2
2026-06-27,organic_direct,LATAM,32.28,2329,111,7
2026-06-28,paid_search,US-East,455.77,38414,1220,95
2026-06-28,paid_search,US-West,503.36,35188,619,16
2026-06-28,paid_search,EU-Central,543.97,39566,1444,84
2026-06-28,paid_search,APAC-SG,423.32,21618,896,31
2026-06-28,paid_search,LATAM,271.44,21234,270,17
2026-06-28,paid_social,US-East,296.75,18041,808,32
2026-06-28,paid_social,US-West,260.22,24727,250,17
2026-06-28,paid_social,EU-Central,212.44,12002,240,7
2026-06-28,paid_social,APAC-SG,263.19,13498,143,9
2026-06-28,paid_social,LATAM,176.98,11714,198,4
2026-06-28,developer_sponsorship,US-East,274.81,20969,835,40
2026-06-28,developer_sponsorship,US-West,256.7,19422,278,13
2026-06-28,developer_sponsorship,EU-Central,228.1,11899,491,35
2026-06-28,developer_sponsorship,APAC-SG,162.06,11814,573,13
2026-06-28,developer_sponsorship,LATAM,138.23,9687,362,17
2026-06-28,community_events,US-East,224.25,12036,159,8
2026-06-28,community_events,US-West,122.0,7777,274,14
2026-06-28,community_events,EU-Central,120.84,12051,376,17
2026-06-28,community_events,APAC-SG,127.59,7012,266,18
2026-06-28,community_events,LATAM,114.51,10128,393,12
2026-06-28,organic_direct,US-East,58.26,3578,84,3
2026-06-28,organic_direct,US-West,52.23,2859,77,4
2026-06-28,organic_direct,EU-Central,41.61,2398,112,2
2026-06-28,organic_direct,APAC-SG,47.96,2621,36,2
2026-06-28,organic_direct,LATAM,41.55,3233,108,5
2026-06-29,paid_search,US-East,538.67,30225,729,43
2026-06-29,paid_search,US-West,632.59,59086,2295,179
2026-06-29,paid_search,EU-Central,477.11,32244,1067,34
2026-06-29,paid_search,APAC-SG,437.62,26787,383,27
2026-06-29,paid_search,LATAM,322.19,28394,935,63
2026-06-29,paid_social,US-East,434.55,42901,1833,104
2026-06-29,paid_social,US-West,358.25,18382,866,60
2026-06-29,paid_social,EU-Central,232.33,13712,522,20
2026-06-29,paid_social,APAC-SG,216.93,10912,488,26
2026-06-29,paid_social,LATAM,197.5,11276,398,8
2026-06-29,developer_sponsorship,US-East,275.44,16734,448,18
2026-06-29,developer_sponsorship,US-West,202.85,17461,717,38
2026-06-29,developer_sponsorship,EU-Central,135.18,7114,115,6
2026-06-29,developer_sponsorship,APAC-SG,176.7,11239,409,20
2026-06-29,developer_sponsorship,LATAM,135.13,8602,345,9
2026-06-29,community_events,US-East,172.43,11063,410,20
2026-06-29,community_events,US-West,181.55,9489,244,13
2026-06-29,community_events,EU-Central,95.12,6189,114,3
2026-06-29,community_events,APAC-SG,102.4,6799,70,4
2026-06-29,community_events,LATAM,84.57,5836,222,11
2026-06-29,organic_direct,US-East,72.0,6502,83,5
2026-06-29,organic_direct,US-West,39.9,2032,95,6
2026-06-29,organic_direct,EU-Central,47.05,3701,142,6
2026-06-29,organic_direct,APAC-SG,30.76,1570,36,2
2026-06-29,organic_direct,LATAM,37.48,3433,160,4
2026-06-30,paid_search,US-East,724.01,45008,1510,77
2026-06-30,paid_search,US-West,515.6,33778,796,31
2026-06-30,paid_search,EU-Central,360.4,27218,396,20
2026-06-30,paid_search,APAC-SG,497.42,33560,1312,90
2026-06-30,paid_search,LATAM,416.16,25724,407,12
2026-06-30,paid_social,US-East,382.12,33630,1218,37
2026-06-30,paid_social,US-West,384.02,28688,1152,75
2026-06-30,paid_social,EU-Central,261.72,25179,820,47
2026-06-30,paid_social,APAC-SG,257.93,24042,843,24
2026-06-30,paid_social,LATAM,155.6,11220,248,9
2026-06-30,developer_sponsorship,US-East,176.09,13271,297,13
2026-06-30,developer_sponsorship,US-West,161.51,14791,193,13
2026-06-30,developer_sponsorship,EU-Central,218.37,17633,533,25
2026-06-30,developer_sponsorship,APAC-SG,165.21,14801,678,31
2026-06-30,developer_sponsorship,LATAM,166.02,13711,313,15
2026-06-30,community_events,US-East,142.29,7554,106,7
2026-06-30,community_events,US-West,149.5,12814,386,11
2026-06-30,community_events,EU-Central,114.57,8236,227,11
2026-06-30,community_events,APAC-SG,95.43,6550,139,6
2026-06-30,community_events,LATAM,94.82,7575,314,18
2026-06-30,organic_direct,US-East,44.37,2428,90,3
2026-06-30,organic_direct,US-West,62.38,5166,238,17
2026-06-30,organic_direct,EU-Central,40.5,3205,50,2
2026-06-30,organic_direct,APAC-SG,51.22,4349,111,6
2026-06-30,organic_direct,LATAM,44.2,2894,72,4
2026-07-01,paid_search,US-East,712.75,59518,2568,165
2026-07-01,paid_search,US-West,611.19,46645,1671,75
2026-07-01,paid_search,EU-Central,412.69,28116,483,15
2026-07-01,paid_search,APAC-SG,507.44,37709,718,20
2026-07-01,paid_search,LATAM,261.2,24088,338,22
2026-07-01,paid_social,US-East,432.39,40724,468,18
2026-07-01,paid_social,US-West,382.73,21644,542,16
2026-07-01,paid_social,EU-Central,323.68,28663,1214,36
2026-07-01,paid_social,APAC-SG,231.02,16296,603,20
2026-07-01,paid_social,LATAM,202.97,13040,520,24
2026-07-01,developer_sponsorship,US-East,244.9,16034,678,32
2026-07-01,developer_sponsorship,US-West,264.23,18071,865,68
2026-07-01,developer_sponsorship,EU-Central,175.86,11270,284,14
2026-07-01,developer_sponsorship,APAC-SG,204.76,18601,782,22
2026-07-01,developer_sponsorship,LATAM,119.0,9765,439,23
2026-07-01,community_events,US-East,137.08,12651,557,20
2026-07-01,community_events,US-West,191.05,12158,561,16
2026-07-01,community_events,EU-Central,129.94,12645,238,11
2026-07-01,community_events,APAC-SG,109.17,5604,67,3
2026-07-01,community_events,LATAM,88.35,8810,220,4
2026-07-01,organic_direct,US-East,75.51,6943,249,16
2026-07-01,organic_direct,US-West,43.04,2769,119,7
2026-07-01,organic_direct,EU-Central,35.25,3006,83,1
2026-07-01,organic_direct,APAC-SG,29.9,1877,81,4
2026-07-01,organic_direct,LATAM,39.77,3037,43,1
2026-07-02,paid_search,US-East,528.41,27682,741,50
2026-07-02,paid_search,US-West,535.85,29762,1375,76
2026-07-02,paid_search,EU-Central,319.44,24203,476,13
2026-07-02,paid_search,APAC-SG,383.02,30925,606,27
2026-07-02,paid_search,LATAM,384.52,20872,1022,24
2026-07-02,paid_social,US-East,365.63,27556,1364,72
2026-07-02,paid_social,US-West,308.31,22662,802,63
2026-07-02,paid_social,EU-Central,230.09,11691,485,19
2026-07-02,paid_social,APAC-SG,273.54,22269,909,58
2026-07-02,paid_social,LATAM,188.9,9863,314,21
2026-07-02,developer_sponsorship,US-East,193.21,17187,491,30
2026-07-02,developer_sponsorship,US-West,237.39,21501,269,17
2026-07-02,developer_sponsorship,EU-Central,175.43,11345,133,4
2026-07-02,developer_sponsorship,APAC-SG,116.02,11215,343,27
2026-07-02,developer_sponsorship,LATAM,143.61,8999,361,11
2026-07-02,community_events,US-East,164.55,14651,653,26
2026-07-02,community_events,US-West,127.82,8743,398,25
2026-07-02,community_events,EU-Central,166.97,11576,566,28
2026-07-02,community_events,APAC-SG,119.82,11528,354,24
2026-07-02,community_events,LATAM,119.31,6436,219,15
2026-07-02,organic_direct,US-East,61.64,4071,53,3
2026-07-02,organic_direct,US-West,48.61,3895,105,6
2026-07-02,organic_direct,EU-Central,40.99,2136,95,3
2026-07-02,organic_direct,APAC-SG,51.96,3311,162,12
2026-07-02,organic_direct,LATAM,26.08,2135,52,3
2026-07-03,paid_search,US-East,664.59,64890,1019,57
2026-07-03,paid_search,US-West,642.83,33259,422,28
2026-07-03,paid_search,EU-Central,413.91,28618,935,52
2026-07-03,paid_search,APAC-SG,442.97,43163,1073,70
2026-07-03,paid_search,LATAM,365.52,27952,724,42
2026-07-03,paid_social,US-East,305.92,17031,671,33
2026-07-03,paid_social,US-West,307.62,24020,491,17
2026-07-03,paid_social,EU-Central,261.3,26082,558,41
2026-07-03,paid_social,APAC-SG,238.73,13400,591,27
2026-07-03,paid_social,LATAM,260.23,18803,254,15
2026-07-03,developer_sponsorship,US-East,289.76,19118,456,10
2026-07-03,developer_sponsorship,US-West,225.57,21331,939,58
2026-07-03,developer_sponsorship,EU-Central,226.15,18518,773,39
2026-07-03,developer_sponsorship,APAC-SG,123.65,7425,115,7
2026-07-03,developer_sponsorship,LATAM,100.21,7786,192,13
2026-07-03,community_events,US-East,185.58,14957,201,7
2026-07-03,community_events,US-West,214.46,18431,571,37
2026-07-03,community_events,EU-Central,161.19,8653,423,24
2026-07-03,community_events,APAC-SG,116.4,9778,232,16
2026-07-03,community_events,LATAM,122.66,10056,173,13
2026-07-03,organic_direct,US-East,57.57,5499,67,1
2026-07-03,organic_direct,US-West,43.55,2536,58,3
2026-07-03,organic_direct,EU-Central,40.84,3963,181,12
2026-07-03,organic_direct,APAC-SG,34.01,2780,89,2
2026-07-03,organic_direct,LATAM,30.86,2366,71,2
2026-07-04,paid_search,US-East,758.98,43800,1592,100
2026-07-04,paid_search,US-West,584.7,53866,1753,121
2026-07-04,paid_search,EU-Central,322.66,16866,601,32
2026-07-04,paid_search,APAC-SG,436.27,38543,1027,59
2026-07-04,paid_search,LATAM,349.59,28442,613,47
2026-07-04,paid_social,US-East,356.32,32152,1202,45
2026-07-04,paid_social,US-West,245.45,13007,358,17
2026-07-04,paid_social,EU-Central,222.05,17837,401,25
2026-07-04,paid_social,APAC-SG,273.72,25466,1248,34
2026-07-04,paid_social,LATAM,193.69,15123,344,16
2026-07-04,developer_sponsorship,US-East,206.52,12886,178,6
2026-07-04,developer_sponsorship,US-West,204.71,16534,329,23
2026-07-04,developer_sponsorship,EU-Central,143.25,9507,314,12
2026-07-04,developer_sponsorship,APAC-SG,185.26,13878,424,21
2026-07-04,developer_sponsorship,LATAM,123.92,6339,303,15
2026-07-04,community_events,US-East,230.4,13998,337,7
2026-07-04,community_events,US-West,164.49,15481,559,26
2026-07-04,community_events,EU-Central,137.97,12742,347,25
2026-07-04,community_events,APAC-SG,136.38,12027,296,13
2026-07-04,community_events,LATAM,109.43,6536,209,5
2026-07-04,organic_direct,US-East,60.15,5306,112,8
2026-07-04,organic_direct,US-West,60.95,3409,167,7
2026-07-04,organic_direct,EU-Central,52.96,3545,168,10
2026-07-04,organic_direct,APAC-SG,32.78,2473,74,1
2026-07-04,organic_direct,LATAM,27.38,1824,52,2
2026-07-05,paid_search,US-East,638.25,48363,1118,63
2026-07-05,paid_search,US-West,438.63,43657,1727,65
2026-07-05,paid_search,EU-Central,405.82,37097,1160,72
2026-07-05,paid_search,APAC-SG,351.95,31952,790,47
2026-07-05,paid_search,LATAM,450.78,35695,1494,94
2026-07-05,paid_social,US-East,400.62,20564,596,46
2026-07-05,paid_social,US-West,386.01,34280,1134,71
2026-07-05,paid_social,EU-Central,283.53,16593,583,33
2026-07-05,paid_social,APAC-SG,289.13,16592,617,13
2026-07-05,paid_social,LATAM,266.47,14787,159,6
2026-07-05,developer_sponsorship,US-East,189.81,16043,423,28
2026-07-05,developer_sponsorship,US-West,275.51,25799,1017,24
2026-07-05,developer_sponsorship,EU-Central,140.91,8506,195,11
2026-07-05,developer_sponsorship,APAC-SG,162.45,10670,180,13
2026-07-05,developer_sponsorship,LATAM,126.76,8583,350,22
2026-07-05,community_events,US-East,195.48,16550,569,17
2026-07-05,community_events,US-West,139.91,10899,207,16
2026-07-05,community_events,EU-Central,118.61,7644,139,8
2026-07-05,community_events,APAC-SG,106.83,7204,341,23
2026-07-05,community_events,LATAM,90.73,5089,188,8
2026-07-05,organic_direct,US-East,77.29,7027,338,23
2026-07-05,organic_direct,US-West,48.08,3095,119,4
2026-07-05,organic_direct,EU-Central,43.44,2728,79,2
2026-07-05,organic_direct,APAC-SG,40.93,3955,149,4
2026-07-05,organic_direct,LATAM,37.43,2969,58,3
2026-07-06,paid_search,US-East,611.17,50053,605,27
2026-07-06,paid_search,US-West,621.73,34212,1396,28
2026-07-06,paid_search,EU-Central,463.6,44716,1174,89
2026-07-06,paid_search,APAC-SG,490.82,36258,651,50
2026-07-06,paid_search,LATAM,312.45,25713,1190,30
2026-07-06,paid_social,US-East,376.01,28861,1123,85
2026-07-06,paid_social,US-West,411.82,24195,1095,33
2026-07-06,paid_social,EU-Central,337.98,33750,873,43
2026-07-06,paid_social,APAC-SG,302.87,29713,1397,101
2026-07-06,paid_social,LATAM,148.17,11616,166,13
2026-07-06,developer_sponsorship,US-East,208.98,20784,659,32
2026-07-06,developer_sponsorship,US-West,277.89,25719,738,23
2026-07-06,developer_sponsorship,EU-Central,138.17,8031,227,8
2026-07-06,developer_sponsorship,APAC-SG,129.88,11277,469,25
2026-07-06,developer_sponsorship,LATAM,161.61,9498,420,31
2026-07-06,community_events,US-East,215.31,16312,219,13
2026-07-06,community_events,US-West,133.79,7630,175,6
2026-07-06,community_events,EU-Central,115.62,7142,286,22
2026-07-06,community_events,APAC-SG,105.74,9108,95,5
2026-07-06,community_events,LATAM,117.14,6220,91,3
2026-07-06,organic_direct,US-East,56.59,4251,194,12
2026-07-06,organic_direct,US-West,48.76,2724,127,4
2026-07-06,organic_direct,EU-Central,48.09,2931,44,1
2026-07-06,organic_direct,APAC-SG,45.95,3689,98,5
2026-07-06,organic_direct,LATAM,34.39,2643,96,3
2026-07-07,paid_search,US-East,509.09,44666,2006,49
2026-07-07,paid_search,US-West,532.43,45356,595,32
2026-07-07,paid_search,EU-Central,331.67,25665,775,42
